Klient;ID aukcie;ID ucastnika;Hodnota
100;1430;2978;27830
100;1430;2980;28326
100;1430;2981;29444
100;1430;2983;29240
100;1430;2984;31600
100;1430;5970;29800
100;1431;3444;-26666.93
100;1431;3890;-26110.169
100;1431;3891;-26056.38
100;1431;3896;-24547.506
100;1431;3930;-25412.6781
100;1435;2978;23338
100;1435;2980;24255
100;1435;2981;22424
100;1435;2983;23631
100;1435;2984;12616
100;1435;5970;21883
100;1437;2980;156958
100;1437;3163;155059.8
100;1437;3199;164227
100;1437;4223;154791.4
100;1437;5978;131427
100;1438;3444;-25811.19
100;1438;3890;-24837.117
100;1438;3896;-23845.045
100;1438;3930;-24501.4058
100;1439;2980;39423
100;1439;2981;42180
100;1439;2982;39900
100;1439;2983;40470
100;1439;2984;13760
100;1439;5970;39601
100;1441;2978;48470
100;1441;2980;57360
100;1441;2981;63381
100;1441;2982;51805
100;1441;2983;57005
100;1441;2984;54080
100;1441;5970;57050
100;1442;2980;151457
100;1442;3163;151984.2
100;1442;3199;156144
100;1442;4223;152918.6
100;1442;5978;127463
100;1443;3615;143709
100;1443;6334;164283.25
100;1444;2976;4690
100;1444;2978;53820
100;1444;2980;47377
100;1444;2981;63255
100;1444;2982;57530
100;1444;2983;59810
100;1444;2984;60280
100;1444;5970;56551
100;1446;3767;407030
100;1446;6335;504070
100;1447;2976;3200
100;1447;2978;52542
100;1447;2980;60919
100;1447;2982;69400
100;1447;2983;69215
100;1447;2984;71400
100;1447;5970;70477
100;1448;2293;110160
100;1448;3408;104425.56
100;1448;3452;112434.6
100;1448;5792;104476.9
100;1448;6325;105247
100;1449;2976;2600
100;1449;2978;22090
100;1449;2980;19654
100;1449;2981;25600
100;1449;2982;23310
100;1449;2983;22711
100;1449;2984;24000
100;1449;5970;20672
100;1450;2976;2600
100;1450;2978;43455
100;1450;2980;74830
100;1450;2983;61218
100;1450;2984;70500
100;1450;5970;69125
100;1451;2980;147806
100;1451;3163;148618.3
100;1451;3199;151310.3
100;1451;4223;149061.6
100;1451;5978;118895
100;1451;6336;138923.6
100;1452;2976;5184
100;1452;2978;57464
100;1452;2980;61925
100;1452;2982;66525
100;1452;2983;61104
100;1452;2984;56250
100;1452;5970;57260
100;1453;3444;177393
100;1454;2978;1650
100;1454;2980;47762
100;1454;2981;54382
100;1454;2982;51360
100;1454;2983;47470
100;1454;5970;47215
100;1455;2293;102200
100;1455;2330;123980
100;1455;3408;102095.7
100;1455;3452;108321.36
100;1455;6325;106066.8
100;1456;2976;1210
100;1456;2978;63853
100;1456;2980;60074
100;1456;2981;69161
100;1456;2982;86220
100;1456;2983;81495
100;1456;5970;52400
100;1457;2980;144012
100;1457;3163;148622.8
100;1457;3199;152962
100;1457;4223;145217.5
100;1457;5978;120878
100;1457;6336;140730.8
100;1458;2978;39561
100;1458;2980;44255
100;1458;2982;47190
100;1458;2983;43104
100;1458;5970;42842
100;1460;2293;129124.8
100;1460;3408;128868.6
100;1461;2976;1280
100;1461;2978;34868
100;1461;2980;32449
100;1461;2981;37531
100;1461;2982;35630
100;1461;2983;35726
100;1461;2984;40500
100;1461;5970;34706
100;1462;2980;109393
100;1462;3163;101555
100;1462;3199;109074
100;1462;4223;105434.6
100;1462;5978;80906
100;1462;6336;99309.2
100;1463;2978;36664
100;1463;2980;34884
100;1463;2983;39893
100;1463;2984;37050
100;1463;5970;39038
100;1464;2980;34980
100;1464;2981;55643
100;1464;2982;53550
100;1464;2983;46034
100;1464;5970;51892
100;1466;2978;30323
100;1466;2980;40565
100;1466;2981;51203
100;1466;2982;49270
100;1466;2983;46687
100;1466;5970;23931
100;1467;2980;125650
100;1467;3163;120745
100;1467;3199;126632
100;1467;4223;122484.7
100;1467;5978;99656
100;1467;6336;118639.3
100;1468;2293;122707.6
100;1468;3408;116622.51
100;1468;3415;116521.93
100;1468;6325;118181.5
100;1469;2978;43470
100;1469;2980;60147
100;1469;2982;68440
100;1469;2983;65034
100;1469;2984;61430
100;1469;5970;47947
100;1471;4076;4751875
100;1471;4077;5591100
100;1471;4098;5616307
100;1471;4099;5931480
100;1471;6337;6778305
100;1471;6340;6262745
100;1472;2980;233050
100;1472;3163;225662.6
100;1472;3199;225877.4
100;1472;4223;231826.6
100;1472;5978;180348
100;1472;6336;224460
100;1474;2978;56073
100;1474;2980;59646
100;1474;2982;67140
100;1474;2983;66420
100;1474;5970;42786
102;2348;8216;14890
102;2348;8218;14900
102;2348;8257;16225
102;2349;8260;221900
102;2350;8111;69200
102;2350;8281;69299
102;2352;8283;20092.5
102;2352;8284;19211.25
102;2352;8285;19387.5
102;2353;8234;146440
102;2353;8241;146550
102;2353;8258;147650
102;2354;8092;53000
102;2355;8058;767
102;2355;8060;688
102;2356;8146;59999
102;2356;8147;59651
102;2356;8148;59489
102;2357;8147;229686.6
102;2357;8148;229314.14
102;2359;8244;292500
102;2359;8288;310000
102;2359;8289;315000
102;2360;8290;82800
102;2360;8291;87700
102;2360;8292;98950
102;2360;8293;82900
102;2361;8146;227200
102;2361;8147;228750
102;2361;8148;229314.14
102;2363;8146;58738
102;2363;8147;57118
102;2363;8148;59780
