Klient;ID aukcie;Úèastník;Hodnota
102;2385;8150;8992
102;2387;8290;146990
102;2387;8324;161070
102;2387;8325;146200
102;2388;8233;17980
102;2388;8330;16334
102;2389;8092;55800
102;2390;7979;21500
102;2390;7983;21550
102;2390;8331;35030
102;2390;8332;32029
102;2391;8233;8250
102;2391;8314;9450
102;2392;8148;8451.2
102;2393;8216;17450
102;2393;8218;17500
102;2393;8257;17777.9
102;2394;8237;59850
102;2394;8334;58920
102;2395;8234;43899
102;2395;8241;43900
102;2395;8334;46196.4
102;2396;8299;196650
102;2396;8312;196500
102;2398;8326;36051.23
102;2398;8327;36950.96
102;2401;8337;5416.66
1040;5831;12444;8838.5
1040;5831;17773;10687
1040;5831;17777;13129
1040;5833;17783;24018
1040;5835;11421;7420.42
1040;5835;11422;8388.85
1040;5835;11691;6742.95
1040;5836;17790;234250
1040;5836;17791;232150
1040;5837;16836;10800000
1040;5837;17793;9444000
1040;5838;16836;532500
1040;5838;17742;675000
1040;5838;17793;531750
1040;5839;17798;4173600
1065;5885;16633;99225.6
1065;5885;16634;99399.68
1065;5885;16637;99573.76
1065;5885;16656;100235.264
1065;5885;17727;106188.8
1065;5885;17745;108451.84
1065;5887;17755;31640
1065;5887;17759;31500
1065;5891;16511;115600
1065;5891;16512;113000
1065;5892;16511;84660
1065;5892;16512;84830
1065;5892;16663;103020
1065;5893;16633;34748.4
1065;5893;16634;35618.4
1065;5893;17750;32437.32
1065;5895;16511;97000
1065;5895;16512;97500
1065;5896;16511;279900
1065;5896;16512;279000
1065;5897;16633;76132.8
1065;5897;16634;74701.62
1065;5897;17750;73967.72
1065;5898;16425;47675
1065;5898;17765;47660
106;5420;7662;3572886.4
106;5523;9230;4260
106;5523;9232;4500
106;5524;7565;39652.91
106;5524;8617;31466.45
106;5524;9830;29733.72
106;5525;6815;7952
106;5525;9518;7800
106;5528;7244;20770.9
106;5528;9159;22871.69
106;5528;9272;25206.18
106;5530;7124;44579.98
106;5531;7477;2456.64
106;5531;7481;2836.84
106;5531;7482;2531.4
106;5532;9648;26677.65
106;5532;9649;21951.85
106;5532;9650;28729.55
106;5532;9652;29344.8
106;5533;6477;19500
